product,cost,price,fees
Organic Quinoa,3.25,7.50,1.50
Extra Virgin Olive Oil,5.80,12.99,3.15
Almond Butter,4.50,10.50,2.80
Himalayan Pink Salt,2.10,5.99,1.25
Dark Chocolate Chips,2.75,6.49,1.40
Coconut Water,8.40,18.99,3.75
Turmeric Powder,1.95,4.99,1.25
Granola Bars,3.60,8.99,1.80
Green Tea Bags,4.20,10.99,2.15
Greek Yogurt,2.30,5.49,1.20
Organic Honey,3.80,9.99,2.05
Peanut Butter,2.25,5.25,1.20
Whole Grain Pasta,1.65,4.49,0.90
Canned Chickpeas,0.95,2.49,0.65
Maple Syrup,6.50,15.99,3.45
Dried Apricots,3.10,7.75,1.65
Oat Milk,2.40,5.99,1.25
Protein Powder,12.60,30.99,5.75
Organic Coffee,7.25,17.99,3.85
Coconut Oil,4.75,11.25,2.40
