Date/Period,Sales ($),Impressions,Clicks,Orders/Units,Sessions/Views
2024-01-01,1500,12000,100,5,150
2024-01-02,1550,12500,110,6,160
2024-01-03,1600,13000,120,6,170
2024-01-04,1650,13500,130,7,180
2024-01-05,1700,14000,140,7,190
2024-01-06,1750,14500,150,8,200
2024-01-07,1800,15000,160,8,210
2024-01-08,1850,15500,170,9,220
2024-01-09,1900,16000,180,9,230
2024-01-10,1950,16500,190,10,240
2024-01-11,2000,17000,200,10,250
2024-01-12,2050,17500,210,11,260
2024-01-13,2100,18000,220,11,270
2024-01-14,2150,18500,230,12,280
2024-01-15,2200,19000,240,12,290
2024-01-16,2250,19500,250,13,300
2024-01-17,2300,20000,260,13,310
2024-01-18,2350,20500,270,14,320
2024-01-19,2400,21000,280,14,330
2024-01-20,2450,21500,290,15,340
