product,cost,price,fees
Luxury Face Serum,18.75,59.99,8.50
Organic Hair Mask,12.50,34.99,5.75
Premium Facial Moisturizer,15.99,45.99,6.85
Anti-Aging Eye Cream,22.50,69.99,9.25
Natural Lip Balm Set,8.25,24.99,4.50
Professional Makeup Brush Set,14.99,39.99,6.25
Vitamin C Face Toner,9.99,29.99,5.25
Collagen Face Cream,19.99,54.99,7.75
Hyaluronic Acid Serum,16.50,49.99,7.25
Charcoal Face Mask,7.99,22.99,4.25
Bamboo Hair Brush,6.50,19.99,3.95
Jade Face Roller Set,11.25,32.99,5.50
Argan Oil Hair Treatment,13.75,38.99,6.15
Micellar Water Cleanser,8.99,26.99,4.75
Retinol Night Cream,24.99,74.99,9.85
Rose Water Face Mist,7.25,21.99,4.15
Clay Face Mask Set,17.50,47.99,7.15
Lash Growth Serum,21.99,64.99,8.95
Skin Brightening Cream,19.25,52.99,7.65
Hand Cream Gift Set,10.99,31.99,5.35
